filename,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr,prediction
20051020_43808_0100_PP_967.png,0.635346,0.097870,0.162127,0.050146,0.054511,anodr
20051020_44261_0100_PP_1191.png,0.683884,0.096334,0.141787,0.037726,0.040269,anodr
20051020_44284_0100_PP_502.png,0.767493,0.069502,0.103722,0.029463,0.029821,anodr
20051020_44338_0100_PP_547.png,0.582844,0.112301,0.182338,0.054330,0.068186,anodr
20051020_44400_0100_PP_920.png,0.604990,0.115012,0.173677,0.048898,0.057423,anodr
20051020_44431_0100_PP_514.png,0.470588,0.121069,0.251316,0.068974,0.088053,anodr
20051020_44692_0100_PP_419.png,0.457505,0.100887,0.276553,0.075805,0.089249,anodr
20051020_44714_0100_PP_1199.png,0.758713,0.072297,0.104321,0.031825,0.032843,anodr
20051020_44982_0100_PP_486.png,0.718908,0.075922,0.124703,0.038548,0.041918,anodr
20051020_56791_0100_PP_1185.png,0.677437,0.105006,0.136655,0.040700,0.040203,anodr
20051020_57157_0100_PP_971.png,0.641098,0.103186,0.161458,0.047099,0.047159,anodr
20051020_57967_0100_PP_829.png,0.650874,0.097757,0.158352,0.046231,0.046786,anodr
20051020_58065_0100_PP_561.png,0.692740,0.080682,0.131562,0.041651,0.053365,anodr
20051020_61757_0100_PP_484.png,0.741486,0.072167,0.115979,0.034931,0.035438,anodr
20051020_62461_0100_PP_76.png,0.492242,0.125897,0.238766,0.064873,0.078222,anodr
20051020_62510_0100_PP_106.png,0.450115,0.125797,0.260201,0.069973,0.093913,anodr
20051020_62577_0100_PP_479.png,0.722190,0.077249,0.124501,0.038285,0.037774,anodr
20051020_62615_0100_PP_294.png,0.673847,0.088971,0.145525,0.043740,0.047917,anodr
20051020_63269_0100_PP_1183.png,0.668542,0.084998,0.153205,0.044618,0.048636,anodr
20051020_63337_0100_PP_471.png,0.570162,0.102729,0.211770,0.055963,0.059375,anodr
20051020_64249_0100_PP_1004.png,0.721870,0.078285,0.127053,0.037406,0.035387,anodr
20051020_64388_0100_PP_1194.png,0.717679,0.078583,0.130055,0.037532,0.036151,anodr
20051020_64653_0100_PP_124.png,0.613544,0.121791,0.163773,0.051262,0.049630,anodr
20051020_64775_0100_PP_480.png,0.688921,0.082724,0.143319,0.041491,0.043545,anodr
20051020_64836_0100_PP_1270.png,0.715855,0.077642,0.130301,0.038892,0.037310,anodr
20051021_36380_0100_PP_135.png,0.644183,0.108158,0.152416,0.046047,0.049197,anodr
20051021_36476_0100_PP_1243.png,0.667186,0.099098,0.144636,0.044016,0.045064,anodr
20051021_39845_0100_PP_315.png,0.571046,0.103147,0.206737,0.054944,0.064126,anodr
20051021_39914_0100_PP_1352.png,0.675924,0.086818,0.148673,0.043317,0.045268,anodr
20051021_51418_0100_PP_18.png,0.691549,0.096809,0.131602,0.039449,0.040591,anodr
20051021_51476_0100_PP_150.png,0.675341,0.084170,0.149266,0.042915,0.048308,anodr
20051021_51936_0100_PP_1379.png,0.561687,0.119676,0.192348,0.055889,0.070400,anodr
20051021_51994_0100_PP_1283.png,0.597139,0.117565,0.170273,0.051436,0.063587,anodr
20051021_57798_0100_PP_1322.png,0.459101,0.138836,0.257143,0.063246,0.081674,anodr
20051021_57862_0100_PP_372.png,0.483315,0.140683,0.242002,0.058864,0.075137,anodr
20051021_57975_0100_PP_517.png,0.754957,0.065054,0.113824,0.034379,0.031786,anodr
20051021_58035_0100_PP_1138.png,0.705491,0.074516,0.141636,0.039844,0.038514,anodr
20051021_58388_0100_PP_1300.png,0.743339,0.069119,0.113088,0.036750,0.037703,anodr
20051021_58522_0100_PP_50.png,0.685782,0.082195,0.144290,0.042208,0.045524,anodr
20051109_57843_0400_PP_1109.png,0.661992,0.097206,0.152165,0.043054,0.045583,anodr
20051109_59969_0400_PP_1079.png,0.661286,0.099157,0.144158,0.043520,0.051880,anodr
20051109_60031_0400_PP_528.png,0.597337,0.108840,0.181382,0.053674,0.058768,anodr
20051109_60136_0400_PP_905.png,0.666356,0.096846,0.147873,0.043307,0.045618,anodr
20051110_33960_0400_PP_35.png,0.646098,0.095513,0.158563,0.049904,0.049923,anodr
