filename,predicted_class,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr
anodr/002c21358ce6.png,anodr,0.914793,0.023296,0.020191,0.020499,0.021222
anodr/005b95c28852.png,anodr,0.914942,0.022933,0.021039,0.020352,0.020734
anodr/00cc2b75cddd.png,anodr,0.910898,0.026247,0.022102,0.019745,0.021008
anodr/0182152c50de.png,anodr,0.915565,0.021490,0.022346,0.019348,0.021250
anodr/02cd34a85b24.png,anodr,0.909675,0.026978,0.022807,0.019365,0.021175
anodr/03b373718013.png,anodr,0.913619,0.022783,0.022517,0.019563,0.021518
anodr/04aef84a2cc1.png,anodr,0.915633,0.022413,0.020229,0.020160,0.021565
anodr/05b1bb2bdb81.png,anodr,0.912818,0.024166,0.019864,0.020444,0.022707
anodr/07596907347b.png,anodr,0.915086,0.022128,0.019894,0.021022,0.021870
anodr/07751b94a88a.png,anodr,0.910315,0.027382,0.020200,0.020378,0.021724
anodr/0790515cf5af.png,anodr,0.913212,0.023901,0.022907,0.019074,0.020908
anodr/08037e4490e5.png,anodr,0.915253,0.022541,0.020181,0.020479,0.021546
anodr/0851d6a69589.png,anodr,0.910718,0.026610,0.021428,0.020003,0.021241
anodr/08b6e3240858.png,anodr,0.913793,0.024423,0.020809,0.019358,0.021617
anodr/08bef347f40d.png,anodr,0.910989,0.024366,0.023165,0.020087,0.021393
anodr/08ee569d4721.png,anodr,0.913229,0.024349,0.020837,0.020087,0.021498
anodr/09237bf783a4.png,anodr,0.914473,0.023678,0.020066,0.020382,0.021402
anodr/096436d68d06.png,anodr,0.914524,0.023363,0.020165,0.020155,0.021793
anodr/099021fac3c9.png,anodr,0.915947,0.022492,0.020444,0.020187,0.020929
anodr/09c8323c612e.png,anodr,0.913038,0.024751,0.020103,0.020340,0.021768
anodr/0a38b552372d.png,anodr,0.914919,0.022688,0.020382,0.020432,0.021580
anodr/0a85a1e8f9e9.png,anodr,0.912763,0.024877,0.021175,0.019488,0.021698
anodr/0babc12807b2.png,bmilddr,0.025452,0.818507,0.100860,0.022882,0.032300
anodr/0cbcc7b23613.png,cmoderatedr,0.025585,0.042120,0.882716,0.020729,0.028850
anodr/0cd31078cd08.png,anodr,0.916234,0.022091,0.019977,0.020391,0.021307
anodr/0ce062f26edc.png,anodr,0.914750,0.022789,0.019770,0.021429,0.021262
anodr/0cecc2864b7f.png,anodr,0.915452,0.024071,0.019346,0.020255,0.020877
anodr/0d9a9896f801.png,anodr,0.907506,0.027344,0.024849,0.019094,0.021207
anodr/0da321efbce6.png,anodr,0.914074,0.024822,0.019901,0.020204,0.020999
anodr/0db1d8dcf219.png,anodr,0.914056,0.023812,0.020155,0.020502,0.021476
