filename,pred_class,pred_index,anodr_prob,bmilddr_prob,cmoderatedr_prob,dseveredr_prob,eproliferativedr_prob
anodr/20051020_43808_0100_PP_967.png,anodr,0,0.923973,0.023819,0.016824,0.017640,0.017744
anodr/20051020_44261_0100_PP_1191.png,anodr,0,0.928274,0.023513,0.014873,0.016471,0.016870
anodr/20051020_44284_0100_PP_502.png,anodr,0,0.929673,0.022558,0.014607,0.016471,0.016690
anodr/20051020_44338_0100_PP_547.png,anodr,0,0.921353,0.025832,0.017436,0.016340,0.019038
anodr/20051020_44400_0100_PP_920.png,anodr,0,0.918078,0.029033,0.018226,0.015628,0.019036
anodr/20051020_44431_0100_PP_514.png,anodr,0,0.918056,0.030108,0.017699,0.015370,0.018767
anodr/20051020_44692_0100_PP_419.png,anodr,0,0.920581,0.025423,0.017913,0.016255,0.019828
anodr/20051020_44714_0100_PP_1199.png,anodr,0,0.922181,0.024829,0.016702,0.017056,0.019233
anodr/20051020_44982_0100_PP_486.png,anodr,0,0.921776,0.027781,0.015984,0.017049,0.017410
anodr/20051020_56791_0100_PP_1185.png,anodr,0,0.928062,0.023279,0.014768,0.017165,0.016726
anodr/20051020_57157_0100_PP_971.png,anodr,0,0.928266,0.022045,0.015166,0.017371,0.017152
anodr/20051020_57967_0100_PP_829.png,anodr,0,0.929697,0.020093,0.014867,0.017288,0.018056
anodr/20051020_58065_0100_PP_561.png,anodr,0,0.925225,0.023619,0.015673,0.017071,0.018413
anodr/20051020_61757_0100_PP_484.png,anodr,0,0.930391,0.018597,0.015253,0.018229,0.017530
anodr/20051020_62461_0100_PP_76.png,anodr,0,0.738146,0.111989,0.100582,0.023223,0.026060
anodr/20051020_62510_0100_PP_106.png,anodr,0,0.725269,0.071864,0.134096,0.033395,0.035376
anodr/20051020_62577_0100_PP_479.png,anodr,0,0.928100,0.021721,0.014870,0.017762,0.017547
anodr/20051020_62615_0100_PP_294.png,anodr,0,0.929502,0.019787,0.014676,0.018176,0.017859
anodr/20051020_63269_0100_PP_1183.png,anodr,0,0.925790,0.022784,0.016588,0.016459,0.018379
anodr/20051020_63337_0100_PP_471.png,anodr,0,0.924677,0.024823,0.015466,0.016829,0.018205
anodr/20051020_64249_0100_PP_1004.png,anodr,0,0.930007,0.019654,0.014713,0.018053,0.017574
anodr/20051020_64388_0100_PP_1194.png,anodr,0,0.931066,0.018003,0.014658,0.018358,0.017915
anodr/20051020_64653_0100_PP_124.png,anodr,0,0.924059,0.022953,0.016679,0.017955,0.018354
anodr/20051020_64775_0100_PP_480.png,anodr,0,0.925906,0.023078,0.015532,0.017694,0.017790
anodr/20051020_64836_0100_PP_1270.png,anodr,0,0.921583,0.030887,0.016162,0.015542,0.015826
anodr/20051021_36380_0100_PP_135.png,anodr,0,0.927023,0.021286,0.015399,0.017544,0.018748
anodr/20051021_36476_0100_PP_1243.png,anodr,0,0.926390,0.022033,0.015646,0.017549,0.018382
anodr/20051021_39845_0100_PP_315.png,anodr,0,0.927202,0.021094,0.015134,0.017496,0.019075
anodr/20051021_39914_0100_PP_1352.png,anodr,0,0.927724,0.020060,0.015441,0.018185,0.018589
anodr/20051021_51418_0100_PP_18.png,anodr,0,0.923169,0.025946,0.015853,0.016695,0.018336
anodr/20051021_51476_0100_PP_150.png,anodr,0,0.874728,0.054969,0.025009,0.021813,0.023482
anodr/20051021_51936_0100_PP_1379.png,anodr,0,0.917052,0.032431,0.016423,0.015763,0.018330
anodr/20051021_51994_0100_PP_1283.png,anodr,0,0.915727,0.032242,0.016528,0.016320,0.019182
anodr/20051021_57798_0100_PP_1322.png,anodr,0,0.923193,0.026240,0.016622,0.016032,0.017912
anodr/20051021_57862_0100_PP_372.png,anodr,0,0.925032,0.025150,0.015487,0.016349,0.017982
anodr/20051021_57975_0100_PP_517.png,anodr,0,0.621615,0.079474,0.212633,0.036288,0.049989
anodr/20051021_58035_0100_PP_1138.png,anodr,0,0.770378,0.133024,0.051123,0.020976,0.024499
anodr/20051021_58388_0100_PP_1300.png,anodr,0,0.929864,0.018962,0.014826,0.018156,0.018192
anodr/20051021_58522_0100_PP_50.png,anodr,0,0.930707,0.019326,0.014341,0.017996,0.017631
anodr/20051109_57843_0400_PP_1109.png,anodr,0,0.925947,0.025384,0.014937,0.017059,0.016672
anodr/20051109_59969_0400_PP_1079.png,anodr,0,0.925533,0.023352,0.016097,0.017236,0.017783
anodr/20051109_60031_0400_PP_528.png,anodr,0,0.925975,0.023215,0.016438,0.016762,0.017610
