filename,a_noamd_score,b_amd_score,predicted_class
N0001.jpg,0.692279,0.307721,a_noamd
N0002.jpg,0.743870,0.256130,a_noamd
N0003.jpg,0.791447,0.208553,a_noamd
N0004.jpg,0.740174,0.259826,a_noamd
N0005.jpg,0.784124,0.215876,a_noamd
N0006.jpg,0.753799,0.246201,a_noamd
N0007.jpg,0.811156,0.188844,a_noamd
N0008.jpg,0.796110,0.203890,a_noamd
N0009.jpg,0.640456,0.359544,a_noamd
N0010.jpg,0.656196,0.343804,a_noamd
N0011.jpg,0.753234,0.246766,a_noamd
N0012.jpg,0.746135,0.253865,a_noamd
N0013.jpg,0.802706,0.197294,a_noamd
N0014.jpg,0.788578,0.211422,a_noamd
N0015.jpg,0.784402,0.215598,a_noamd
N0016.jpg,0.767780,0.232220,a_noamd
N0017.jpg,0.750748,0.249252,a_noamd
N0018.jpg,0.689426,0.310574,a_noamd
N0019.jpg,0.694495,0.305505,a_noamd
N0020.jpg,0.837173,0.162827,a_noamd
N0021.jpg,0.749532,0.250468,a_noamd
N0022.jpg,0.751779,0.248221,a_noamd
N0023.jpg,0.624597,0.375403,a_noamd
N0024.jpg,0.646428,0.353572,a_noamd
N0025.jpg,0.668667,0.331333,a_noamd
N0026.jpg,0.655196,0.344804,a_noamd
N0027.jpg,0.769874,0.230126,a_noamd
N0028.jpg,0.703380,0.296620,a_noamd
N0029.jpg,0.684296,0.315704,a_noamd
N0030.jpg,0.637853,0.362147,a_noamd
N0031.jpg,0.779068,0.220932,a_noamd
N0032.jpg,0.850416,0.149584,a_noamd
N0033.jpg,0.827611,0.172389,a_noamd
N0034.jpg,0.782398,0.217602,a_noamd
N0035.jpg,0.789509,0.210491,a_noamd
N0036.jpg,0.736783,0.263217,a_noamd
N0037.jpg,0.734082,0.265918,a_noamd
N0038.jpg,0.666549,0.333451,a_noamd
N0039.jpg,0.736898,0.263102,a_noamd
N0040.jpg,0.689803,0.310197,a_noamd
N0041.jpg,0.655207,0.344793,a_noamd
N0042.jpg,0.628598,0.371402,a_noamd
N0043.jpg,0.692005,0.307995,a_noamd
N0044.jpg,0.748548,0.251452,a_noamd
N0045.jpg,0.745703,0.254297,a_noamd
N0046.jpg,0.733498,0.266502,a_noamd
N0047.jpg,0.773510,0.226490,a_noamd
N0048.jpg,0.670769,0.329231,a_noamd
N0049.jpg,0.697724,0.302276,a_noamd
N0050.jpg,0.699696,0.300304,a_noamd
N0051.jpg,0.681678,0.318322,a_noamd
N0052.jpg,0.801774,0.198226,a_noamd
N0053.jpg,0.765102,0.234898,a_noamd
N0054.jpg,0.796645,0.203355,a_noamd
N0055.jpg,0.804588,0.195412,a_noamd
N0056.jpg,0.641385,0.358615,a_noamd
N0057.jpg,0.757495,0.242505,a_noamd
N0058.jpg,0.789030,0.210970,a_noamd
N0059.jpg,0.705750,0.294250,a_noamd
N0060.jpg,0.763288,0.236712,a_noamd
N0061.jpg,0.732420,0.267580,a_noamd
N0062.jpg,0.724215,0.275785,a_noamd
N0063.jpg,0.739894,0.260106,a_noamd
N0064.jpg,0.808504,0.191496,a_noamd
N0065.jpg,0.817082,0.182918,a_noamd
N0066.jpg,0.577624,0.422376,a_noamd
N0067.jpg,0.590682,0.409318,a_noamd
N0068.jpg,0.698520,0.301480,a_noamd
N0069.jpg,0.734225,0.265775,a_noamd
N0070.jpg,0.750814,0.249186,a_noamd
N0071.jpg,0.755180,0.244819,a_noamd
N0072.jpg,0.808064,0.191936,a_noamd
N0073.jpg,0.758354,0.241646,a_noamd
N0074.jpg,0.786435,0.213564,a_noamd
N0075.jpg,0.789250,0.210750,a_noamd
N0076.jpg,0.805488,0.194512,a_noamd
N0077.jpg,0.797516,0.202484,a_noamd
N0078.jpg,0.817635,0.182365,a_noamd
N0079.jpg,0.753932,0.246068,a_noamd
N0080.jpg,0.754631,0.245369,a_noamd
