filename,true_class,predicted_class,score_anormal,score_cglaucoma
image_001_170.jpg,anormal,anormal,0.784509,0.215491
image_002_202.jpg,anormal,anormal,0.791983,0.208017
image_003_50.jpg,anormal,anormal,0.710552,0.289448
image_004_65.jpg,anormal,anormal,0.738142,0.261858
image_005_13.jpg,anormal,anormal,0.747104,0.252896
image_006_4.jpg,anormal,anormal,0.695034,0.304966
image_007_5.jpg,anormal,anormal,0.797194,0.202806
image_008_116.jpg,anormal,anormal,0.787979,0.212021
image_009_125.jpg,anormal,anormal,0.784051,0.215949
image_010_41.jpg,anormal,anormal,0.759502,0.240498
image_011_214.jpg,anormal,anormal,0.759939,0.240061
image_012_56.jpg,anormal,anormal,0.693330,0.306670
image_013_71.jpg,anormal,anormal,0.764387,0.235613
image_014_59.jpg,anormal,anormal,0.778091,0.221909
image_015_209.jpg,anormal,anormal,0.738596,0.261404
image_016_82.jpg,anormal,anormal,0.785474,0.214526
image_017_93.jpg,anormal,anormal,0.719704,0.280296
image_018_120.jpg,anormal,anormal,0.757642,0.242358
image_019_168.jpg,anormal,anormal,0.781794,0.218206
image_020_10.jpg,anormal,anormal,0.791854,0.208146
image_021_26.jpg,anormal,anormal,0.786697,0.213303
image_022_55.jpg,anormal,anormal,0.766128,0.233872
image_023_103.jpg,anormal,anormal,0.755438,0.244562
image_024_200.jpg,anormal,anormal,0.781270,0.218730
image_025_99.jpg,anormal,anormal,0.787138,0.212862
image_026_146.jpg,anormal,anormal,0.778631,0.221369
image_027_32.jpg,anormal,anormal,0.795193,0.204807
image_028_96.jpg,anormal,anormal,0.787394,0.212606
image_029_217.jpg,anormal,anormal,0.759389,0.240611
image_030_219.jpg,anormal,anormal,0.799769,0.200231
image_031_49.jpg,anormal,anormal,0.763883,0.236117
image_032_39.jpg,anormal,anormal,0.770299,0.229701
image_033_187.jpg,anormal,anormal,0.726346,0.273654
image_034_36.jpg,anormal,anormal,0.773463,0.226537
image_035_160.jpg,anormal,anormal,0.775960,0.224040
