filename,pred_label,pred_index,score_a_noamd,score_b_amd
N0001.jpg,b_amd,1,0.304145,0.695855
N0002.jpg,b_amd,1,0.240864,0.759136
N0003.jpg,b_amd,1,0.317955,0.682045
N0004.jpg,b_amd,1,0.289673,0.710327
N0005.jpg,a_noamd,0,0.812347,0.187653
N0006.jpg,a_noamd,0,0.815747,0.184253
N0007.jpg,a_noamd,0,0.783906,0.216094
N0008.jpg,a_noamd,0,0.816626,0.183374
N0009.jpg,a_noamd,0,0.815012,0.184988
N0010.jpg,a_noamd,0,0.814053,0.185947
N0011.jpg,a_noamd,0,0.813164,0.186836
N0012.jpg,a_noamd,0,0.813609,0.186391
N0013.jpg,a_noamd,0,0.815673,0.184327
N0014.jpg,a_noamd,0,0.817064,0.182936
N0015.jpg,b_amd,1,0.204898,0.795102
N0016.jpg,b_amd,1,0.184473,0.815526
N0017.jpg,a_noamd,0,0.816626,0.183374
N0018.jpg,a_noamd,0,0.813313,0.186687
N0019.jpg,a_noamd,0,0.813461,0.186539
N0020.jpg,b_amd,1,0.276397,0.723602
N0021.jpg,b_amd,1,0.192539,0.807461
N0022.jpg,b_amd,1,0.201735,0.798265
N0023.jpg,a_noamd,0,0.797320,0.202680
N0024.jpg,a_noamd,0,0.811003,0.188997
N0025.jpg,a_noamd,0,0.816040,0.183960
N0026.jpg,a_noamd,0,0.818882,0.181118
N0027.jpg,b_amd,1,0.219505,0.780495
N0028.jpg,b_amd,1,0.190724,0.809276
N0029.jpg,a_noamd,0,0.812570,0.187430
N0030.jpg,a_noamd,0,0.805709,0.194291
N0031.jpg,a_noamd,0,0.804560,0.195440
N0032.jpg,a_noamd,0,0.793826,0.206174
N0033.jpg,a_noamd,0,0.806472,0.193528
N0034.jpg,a_noamd,0,0.790692,0.209308
N0035.jpg,a_noamd,0,0.786623,0.213377
N0036.jpg,a_noamd,0,0.783906,0.216094
N0037.jpg,a_noamd,0,0.815380,0.184620
N0038.jpg,a_noamd,0,0.815012,0.184988
N0039.jpg,b_amd,1,0.169063,0.830937
N0040.jpg,b_amd,1,0.167355,0.832645
N0041.jpg,b_amd,1,0.164248,0.835752
N0042.jpg,b_amd,1,0.275812,0.724188
N0043.jpg,b_amd,1,0.203391,0.796609
N0044.jpg,a_noamd,0,0.815600,0.184400
N0045.jpg,a_noamd,0,0.814864,0.185136
N0046.jpg,a_noamd,0,0.815012,0.184988
N0047.jpg,a_noamd,0,0.811452,0.188548
N0048.jpg,a_noamd,0,0.815233,0.184768
N0049.jpg,a_noamd,0,0.816187,0.183813
N0050.jpg,a_noamd,0,0.774328,0.225672
N0051.jpg,a_noamd,0,0.813461,0.186539
N0052.jpg,b_amd,1,0.281801,0.718199
N0053.jpg,b_amd,1,0.166066,0.833934
N0054.jpg,b_amd,1,0.223971,0.776029
N0055.jpg,a_noamd,0,0.815159,0.184841
N0056.jpg,a_noamd,0,0.810404,0.189596
N0057.jpg,b_amd,1,0.408365,0.591635
N0058.jpg,a_noamd,0,0.811676,0.188324
N0059.jpg,a_noamd,0,0.804098,0.195902
N0060.jpg,a_noamd,0,0.813313,0.186687
N0061.jpg,a_noamd,0,0.804636,0.195364
N0062.jpg,a_noamd,0,0.813461,0.186539
N0063.jpg,a_noamd,0,0.812421,0.187579
N0064.jpg,a_noamd,0,0.815159,0.184841
N0065.jpg,a_noamd,0,0.818229,0.181771
N0066.jpg,b_amd,1,0.167627,0.832373
N0067.jpg,b_amd,1,0.295636,0.704364
N0068.jpg,a_noamd,0,0.816187,0.183813
N0069.jpg,a_noamd,0,0.812123,0.187877
N0070.jpg,a_noamd,0,0.817793,0.182207
N0071.jpg,a_noamd,0,0.814496,0.185504
N0072.jpg,a_noamd,0,0.814053,0.185947
N0073.jpg,a_noamd,0,0.803714,0.196286
N0074.jpg,a_noamd,0,0.815673,0.184327
N0075.jpg,a_noamd,0,0.810779,0.189221
N0076.jpg,a_noamd,0,0.813238,0.186762
N0077.jpg,a_noamd,0,0.811974,0.188026
N0078.jpg,a_noamd,0,0.780662,0.219337
N0079.jpg,a_noamd,0,0.813905,0.186095
N0080.jpg,a_noamd,0,0.813905,0.186095
N0081.jpg,a_noamd,0,0.817502,0.182498
N0082.jpg,a_noamd,0,0.812347,0.187653
N0083.jpg,b_amd,1,0.230140,0.769860
N0084.jpg,b_amd,1,0.302288,0.697712
N0085.jpg,b_amd,1,0.232223,0.767777
N0086.jpg,b_amd,1,0.218169,0.781831
N0087.jpg,b_amd,1,0.173078,0.826922
N0088.jpg,b_amd,1,0.190950,0.809050
N0089.jpg,a_noamd,0,0.817356,0.182644
N0090.jpg,a_noamd,0,0.817647,0.182353
N0091.jpg,a_noamd,0,0.818302,0.181698
N0092.jpg,a_noamd,0,0.819099,0.180901
N0093.jpg,a_noamd,0,0.816113,0.183887
N0094.jpg,a_noamd,0,0.814496,0.185504
N0095.jpg,a_noamd,0,0.814717,0.185283
N0096.jpg,a_noamd,0,0.820901,0.179099
N0097.jpg,a_noamd,0,0.792946,0.207054
N0098.jpg,a_noamd,0,0.806700,0.193300
N0099.jpg,b_amd,1,0.299720,0.700280
N0100.jpg,a_noamd,0,0.800926,0.199074
N0101.jpg,a_noamd,0,0.787278,0.212722
N0102.jpg,a_noamd,0,0.814791,0.185209
N0103.jpg,a_noamd,0,0.814201,0.185799
N0104.jpg,a_noamd,0,0.817502,0.182498
N0105.jpg,a_noamd,0,0.811527,0.188473
N0106.jpg,b_amd,1,0.190498,0.809502
N0107.jpg,b_amd,1,0.206414,0.793586
N0108.jpg,b_amd,1,0.262275,0.737725
N0109.jpg,b_amd,1,0.210523,0.789477
N0110.jpg,a_noamd,0,0.790530,0.209470
N0111.jpg,a_noamd,0,0.809653,0.190347
N0112.jpg,a_noamd,0,0.790692,0.209308
N0113.jpg,a_noamd,0,0.813979,0.186021
N0114.jpg,a_noamd,0,0.811601,0.188399
