filename,predicted_class,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr
002c21358ce6.png,anodr,0.91724557,0.023581766,0.037730463,0.011107926,0.010334357
005b95c28852.png,anodr,0.76153696,0.06311066,0.10995416,0.035541583,0.029856663
00cc2b75cddd.png,anodr,0.77445066,0.07428306,0.0945035,0.02670483,0.030057995
0182152c50de.png,anodr,0.5642742,0.16016446,0.19225124,0.03918228,0.044127792
02cd34a85b24.png,anodr,0.8800074,0.037212245,0.051972635,0.015254823,0.0155528635
03b373718013.png,anodr,0.7380989,0.09707192,0.10439706,0.029515373,0.030916706
04aef84a2cc1.png,anodr,0.64169866,0.09430574,0.16429707,0.046041973,0.0536566
05b1bb2bdb81.png,anodr,0.94377965,0.017913433,0.026605165,0.0061134845,0.0055882437
07596907347b.png,anodr,0.8634993,0.042592525,0.058641937,0.017544884,0.01772133
07751b94a88a.png,anodr,0.8799522,0.036620207,0.051770967,0.014627799,0.017028803
0790515cf5af.png,anodr,0.5733277,0.12753516,0.20047332,0.04034453,0.058319274
08037e4490e5.png,anodr,0.5279049,0.119314544,0.2402485,0.05690833,0.05562366
0851d6a69589.png,anodr,0.86511797,0.03994501,0.059550066,0.017118737,0.018268147
08b6e3240858.png,anodr,0.8494384,0.042598918,0.0726624,0.019390596,0.015909642
08bef347f40d.png,anodr,0.69579476,0.08234979,0.14575464,0.037945237,0.038155634
08ee569d4721.png,anodr,0.8224343,0.046386734,0.07980802,0.02373157,0.027639387
09237bf783a4.png,anodr,0.8631683,0.04283405,0.05531589,0.01947539,0.019206215
096436d68d06.png,anodr,0.86171645,0.0398139,0.061809447,0.02107117,0.015589033
099021fac3c9.png,anodr,0.8514646,0.040424492,0.05880826,0.02547713,0.023825603
09c8323c612e.png,anodr,0.9119547,0.02947868,0.0359249,0.010092069,0.012549612
0a38b552372d.png,anodr,0.5498211,0.14245413,0.20798181,0.04617124,0.053571757
0a85a1e8f9e9.png,anodr,0.8475871,0.02729269,0.08812736,0.018690042,0.018302849
0babc12807b2.png,cmoderatedr,0.21545278,0.1254624,0.42600068,0.10889312,0.12419101
0cbcc7b23613.png,anodr,0.80087435,0.041590005,0.09660976,0.031832125,0.029093722
0cd31078cd08.png,anodr,0.6172407,0.12631579,0.16794644,0.046024673,0.04247237
0ce062f26edc.png,anodr,0.5906634,0.101628244,0.20295036,0.054541785,0.050216332
0cecc2864b7f.png,anodr,0.66590554,0.070766784,0.16225731,0.057473503,0.043596838
0d9a9896f801.png,anodr,0.8792408,0.03186313,0.05698789,0.015064001,0.016844124
0da321efbce6.png,anodr,0.44716278,0.13554044,0.2904858,0.06397331,0.06283769
0db1d8dcf219.png,anodr,0.60534513,0.09883462,0.17389886,0.059285756,0.06263559
0e3572b5884a.png,anodr,0.9087199,0.02833165,0.040472545,0.01161188,0.0108639905
0ef4c61dc056.png,anodr,0.8352476,0.06108092,0.06578714,0.019613527,0.018270837
0fbbd665431f.png,anodr,0.6812658,0.08263635,0.14088729,0.053645704,0.04156494
