filenames,true_label,predicted_label,true_class,predicted_class,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr
20051020_43808_0100_PP_967.png,0,0,anodr,anodr,0.9219294,0.017694747,0.01872946,0.020219333,0.02142709
20051020_44261_0100_PP_1191.png,0,0,anodr,anodr,0.9172054,0.02164871,0.0186002,0.020588998,0.021956755
20051020_44284_0100_PP_502.png,0,0,anodr,anodr,0.91458297,0.020756688,0.0264932,0.018543404,0.019623687
20051020_44338_0100_PP_547.png,0,0,anodr,anodr,0.9074873,0.025266547,0.028790774,0.017733464,0.020722084
20051020_44400_0100_PP_920.png,0,0,anodr,anodr,0.90975404,0.024448037,0.024115648,0.01968022,0.022002162
20051020_44431_0100_PP_514.png,0,0,anodr,anodr,0.91081727,0.02347874,0.02407615,0.019873971,0.02175378
20051020_44692_0100_PP_419.png,0,0,anodr,anodr,0.92521346,0.018496593,0.017799145,0.018893564,0.019597283
20051020_44714_0100_PP_1199.png,0,0,anodr,anodr,0.9176111,0.021614037,0.018926483,0.02128483,0.020563552
20051020_44982_0100_PP_486.png,0,0,anodr,anodr,0.91809565,0.022090841,0.019788515,0.019820541,0.020204386
20051020_56791_0100_PP_1185.png,0,0,anodr,anodr,0.9258654,0.018901445,0.017307252,0.019204209,0.018721737
20051020_57157_0100_PP_971.png,0,0,anodr,anodr,0.90843976,0.032150768,0.023730062,0.017923638,0.017755892
20051020_57967_0100_PP_829.png,0,0,anodr,anodr,0.92890084,0.016720884,0.015314494,0.01928999,0.019773861
20051020_58065_0100_PP_561.png,0,0,anodr,anodr,0.92607653,0.01881544,0.016175453,0.019128438,0.019804161
20051020_61757_0100_PP_484.png,0,0,anodr,anodr,0.9285469,0.015444737,0.016648073,0.019927707,0.019432565
20051020_62461_0100_PP_76.png,0,0,anodr,anodr,0.8833529,0.034712557,0.03749597,0.020815263,0.023623355
20051020_62510_0100_PP_106.png,0,0,anodr,anodr,0.8862263,0.030014712,0.030934827,0.023467744,0.029356416
20051020_62577_0100_PP_479.png,0,0,anodr,anodr,0.9210558,0.02043242,0.01820824,0.020473776,0.019829782
20051020_62615_0100_PP_294.png,0,0,anodr,anodr,0.9200104,0.020157566,0.018585406,0.020863708,0.020382907
20051020_63269_0100_PP_1183.png,0,0,anodr,anodr,0.9243028,0.019948473,0.017666496,0.019219028,0.01886319
20051020_63337_0100_PP_471.png,0,0,anodr,anodr,0.92044115,0.021108214,0.020572124,0.01826988,0.019608648
20051020_64249_0100_PP_1004.png,0,0,anodr,anodr,0.9249462,0.018465504,0.017497918,0.019846475,0.019243825
20051020_64388_0100_PP_1194.png,0,0,anodr,anodr,0.9260325,0.017026562,0.016724091,0.020245021,0.019971889
20051020_64653_0100_PP_124.png,0,0,anodr,anodr,0.9210348,0.018293504,0.020066695,0.02040683,0.020198157
20051020_64775_0100_PP_480.png,0,0,anodr,anodr,0.92362696,0.018684266,0.017094916,0.020458153,0.020135816
20051020_64836_0100_PP_1270.png,0,0,anodr,anodr,0.9223565,0.018008424,0.018604,0.020413298,0.020617861
20051021_36380_0100_PP_135.png,0,0,anodr,anodr,0.92369765,0.019014264,0.019829175,0.019027395,0.018431528
20051021_36476_0100_PP_1243.png,0,0,anodr,anodr,0.922245,0.020488368,0.01920328,0.019006988,0.019056318
20051021_39845_0100_PP_315.png,0,0,anodr,anodr,0.92327315,0.018809011,0.01740879,0.020120485,0.020388441
20051021_39914_0100_PP_1352.png,0,0,anodr,anodr,0.9163286,0.022976901,0.020922745,0.020260667,0.019511096
20051021_51418_0100_PP_18.png,0,0,anodr,anodr,0.9210723,0.021437058,0.017978031,0.01949831,0.020014256
20051021_51476_0100_PP_150.png,0,0,anodr,anodr,0.92450714,0.017668502,0.019281233,0.018732807,0.019810295
20051021_51936_0100_PP_1379.png,0,0,anodr,anodr,0.9151503,0.024561549,0.021197954,0.01939244,0.019697778
20051021_51994_0100_PP_1283.png,0,0,anodr,anodr,0.9099038,0.025359927,0.023554675,0.02000831,0.021173235
20051021_57798_0100_PP_1322.png,0,0,anodr,anodr,0.9168238,0.024518173,0.019084336,0.01932162,0.020252066
20051021_57862_0100_PP_372.png,0,0,anodr,anodr,0.91705394,0.02356897,0.01867574,0.019590756,0.021110583
20051021_57975_0100_PP_517.png,0,0,anodr,anodr,0.92241955,0.01771842,0.022176389,0.01867722,0.019008445
20051021_58035_0100_PP_1138.png,0,0,anodr,anodr,0.91866624,0.019631676,0.022475172,0.019941734,0.019285185
20051021_58388_0100_PP_1300.png,0,0,anodr,anodr,0.9180288,0.020790966,0.019342784,0.020829061,0.021008465
20051021_58522_0100_PP_50.png,0,0,anodr,anodr,0.9217448,0.018205268,0.019925164,0.019839946,0.020284714
20051109_57843_0400_PP_1109.png,0,0,anodr,anodr,0.921397,0.020037113,0.018298838,0.020207573,0.020059519
20051109_59969_0400_PP_1079.png,0,0,anodr,anodr,0.9121342,0.026032241,0.021725645,0.019875322,0.020232586
20051109_60031_0400_PP_528.png,0,0,anodr,anodr,0.9096319,0.027420344,0.023228649,0.018938098,0.020780988
20051109_60136_0400_PP_905.png,0,0,anodr,anodr,0.91715324,0.020632327,0.020622175,0.020357693,0.021234538
20051110_33960_0400_PP_35.png,0,0,anodr,anodr,0.9164243,0.019690879,0.021071697,0.020735368,0.022077706
20051110_34013_0400_PP_151.png,0,0,anodr,anodr,0.9147182,0.023517797,0.02185163,0.019340577,0.020571815
20051110_35239_0400_PP_836.png,0,0,anodr,anodr,0.91802543,0.020898944,0.018385889,0.021617347,0.021072304
20051110_35279_0400_PP_1033.png,0,0,anodr,anodr,0.91609365,0.021364303,0.019505559,0.021412876,0.021623624
20051110_35332_0400_PP_497.png,0,0,anodr,anodr,0.913912,0.026539067,0.020774322,0.019813092,0.018961543
