filename,prob_a_noamd,prob_b_amd,pred_label
N0001.jpg,0.799442,0.200558,a_noamd
N0002.jpg,0.790854,0.209146,a_noamd
N0003.jpg,0.787931,0.212069,a_noamd
N0004.jpg,0.819749,0.180251,a_noamd
N0005.jpg,0.782330,0.217670,a_noamd
N0006.jpg,0.759939,0.240061,a_noamd
N0007.jpg,0.771672,0.228329,a_noamd
N0008.jpg,0.761450,0.238550,a_noamd
N0009.jpg,0.766556,0.233444,a_noamd
N0010.jpg,0.773815,0.226185,a_noamd
N0011.jpg,0.766119,0.233881,a_noamd
N0012.jpg,0.764716,0.235284,a_noamd
N0013.jpg,0.750004,0.249996,a_noamd
N0014.jpg,0.764100,0.235900,a_noamd
N0015.jpg,0.777469,0.222531,a_noamd
N0016.jpg,0.773045,0.226955,a_noamd
N0017.jpg,0.749087,0.250913,a_noamd
N0018.jpg,0.742982,0.257018,a_noamd
N0019.jpg,0.746786,0.253214,a_noamd
N0020.jpg,0.770983,0.229018,a_noamd
N0021.jpg,0.727443,0.272557,a_noamd
N0022.jpg,0.773131,0.226869,a_noamd
N0023.jpg,0.752559,0.247441,a_noamd
N0024.jpg,0.759493,0.240507,a_noamd
N0025.jpg,0.790854,0.209146,a_noamd
N0026.jpg,0.785802,0.214198,a_noamd
N0027.jpg,0.789721,0.210279,a_noamd
N0028.jpg,0.775009,0.224991,a_noamd
N0029.jpg,0.765681,0.234319,a_noamd
N0030.jpg,0.760473,0.239527,a_noamd
N0031.jpg,0.800302,0.199698,a_noamd
N0032.jpg,0.791418,0.208582,a_noamd
N0033.jpg,0.766992,0.233008,a_noamd
N0034.jpg,0.766905,0.233095,a_noamd
N0035.jpg,0.797793,0.202207,a_noamd
N0036.jpg,0.786950,0.213050,a_noamd
N0037.jpg,0.763131,0.236869,a_noamd
N0038.jpg,0.774413,0.225587,a_noamd
N0039.jpg,0.770551,0.229449,a_noamd
N0040.jpg,0.739893,0.260107,a_noamd
N0041.jpg,0.738763,0.261237,a_noamd
N0042.jpg,0.780913,0.219087,a_noamd
N0043.jpg,0.780997,0.219003,a_noamd
N0044.jpg,0.762159,0.237841,a_noamd
N0045.jpg,0.772445,0.227555,a_noamd
N0046.jpg,0.762513,0.237487,a_noamd
N0047.jpg,0.761184,0.238816,a_noamd
N0048.jpg,0.741580,0.258420,a_noamd
N0049.jpg,0.746509,0.253491,a_noamd
N0050.jpg,0.741393,0.258607,a_noamd
N0051.jpg,0.751375,0.248625,a_noamd
N0052.jpg,0.782579,0.217421,a_noamd
N0053.jpg,0.757615,0.242385,a_noamd
N0054.jpg,0.776538,0.223462,a_noamd
N0055.jpg,0.756627,0.243373,a_noamd
N0056.jpg,0.777975,0.222025,a_noamd
N0057.jpg,0.730722,0.269278,a_noamd
