filename,score_a_noamd,score_b_amd,pred_index,pred_class
N0001.jpg,0.949101,0.050899,0,a_noamd
N0002.jpg,0.957145,0.042855,0,a_noamd
N0003.jpg,0.950881,0.049119,0,a_noamd
N0004.jpg,0.955684,0.044316,0,a_noamd
N0005.jpg,0.956511,0.043489,0,a_noamd
N0006.jpg,0.956309,0.043691,0,a_noamd
N0007.jpg,0.956200,0.043800,0,a_noamd
N0008.jpg,0.955335,0.044665,0,a_noamd
N0009.jpg,0.950843,0.049157,0,a_noamd
N0010.jpg,0.944143,0.055857,0,a_noamd
N0011.jpg,0.956105,0.043895,0,a_noamd
N0012.jpg,0.955019,0.044981,0,a_noamd
N0013.jpg,0.952645,0.047355,0,a_noamd
N0014.jpg,0.950839,0.049161,0,a_noamd
N0015.jpg,0.956364,0.043636,0,a_noamd
N0016.jpg,0.954232,0.045768,0,a_noamd
N0017.jpg,0.955742,0.044258,0,a_noamd
N0018.jpg,0.955929,0.044071,0,a_noamd
N0019.jpg,0.956230,0.043770,0,a_noamd
N0020.jpg,0.952881,0.047119,0,a_noamd
N0021.jpg,0.951192,0.048808,0,a_noamd
N0022.jpg,0.950983,0.049017,0,a_noamd
N0023.jpg,0.053298,0.946702,1,b_amd
N0024.jpg,0.063224,0.936776,1,b_amd
N0025.jpg,0.953716,0.046284,0,a_noamd
N0026.jpg,0.953309,0.046691,0,a_noamd
N0027.jpg,0.956376,0.043624,0,a_noamd
N0028.jpg,0.952668,0.047331,0,a_noamd
N0029.jpg,0.953364,0.046636,0,a_noamd
N0030.jpg,0.929959,0.070041,0,a_noamd
N0031.jpg,0.957438,0.042562,0,a_noamd
N0032.jpg,0.955582,0.044418,0,a_noamd
N0033.jpg,0.955701,0.044299,0,a_noamd
N0034.jpg,0.955463,0.044537,0,a_noamd
N0035.jpg,0.954037,0.045963,0,a_noamd
N0036.jpg,0.902417,0.097583,0,a_noamd
N0037.jpg,0.956157,0.043843,0,a_noamd
N0038.jpg,0.955677,0.044323,0,a_noamd
N0039.jpg,0.949666,0.050334,0,a_noamd
N0040.jpg,0.758422,0.241577,0,a_noamd
N0041.jpg,0.077166,0.922834,1,b_amd
N0042.jpg,0.047774,0.952226,1,b_amd
N0043.jpg,0.056118,0.943882,1,b_amd
N0044.jpg,0.956649,0.043351,0,a_noamd
N0045.jpg,0.951872,0.048128,0,a_noamd
N0046.jpg,0.957352,0.042648,0,a_noamd
N0047.jpg,0.951848,0.048152,0,a_noamd
N0048.jpg,0.952220,0.047780,0,a_noamd
N0049.jpg,0.955841,0.044159,0,a_noamd
N0050.jpg,0.930821,0.069179,0,a_noamd
N0051.jpg,0.954056,0.045944,0,a_noamd
N0052.jpg,0.950855,0.049145,0,a_noamd
N0053.jpg,0.625547,0.374453,0,a_noamd
N0054.jpg,0.954093,0.045907,0,a_noamd
N0055.jpg,0.956254,0.043746,0,a_noamd
N0056.jpg,0.945174,0.054826,0,a_noamd
N0057.jpg,0.957428,0.042572,0,a_noamd
N0058.jpg,0.957648,0.042352,0,a_noamd
N0059.jpg,0.955739,0.044261,0,a_noamd
N0060.jpg,0.956313,0.043687,0,a_noamd
N0061.jpg,0.954926,0.045074,0,a_noamd
N0062.jpg,0.956783,0.043217,0,a_noamd
N0063.jpg,0.957199,0.042801,0,a_noamd
N0064.jpg,0.957115,0.042885,0,a_noamd
N0065.jpg,0.956418,0.043582,0,a_noamd
N0066.jpg,0.050852,0.949148,1,b_amd
N0067.jpg,0.058125,0.941875,1,b_amd
N0068.jpg,0.953730,0.046270,0,a_noamd
N0069.jpg,0.954929,0.045071,0,a_noamd
N0070.jpg,0.955593,0.044407,0,a_noamd
N0071.jpg,0.956886,0.043114,0,a_noamd
N0072.jpg,0.957890,0.042110,0,a_noamd
N0073.jpg,0.954270,0.045730,0,a_noamd
N0074.jpg,0.956225,0.043775,0,a_noamd
N0075.jpg,0.956283,0.043717,0,a_noamd
N0076.jpg,0.956281,0.043719,0,a_noamd
N0077.jpg,0.954183,0.045817,0,a_noamd
N0078.jpg,0.956829,0.043171,0,a_noamd
N0079.jpg,0.953931,0.046069,0,a_noamd
N0080.jpg,0.955798,0.044202,0,a_noamd
N0081.jpg,0.955563,0.044437,0,a_noamd
N0082.jpg,0.957538,0.042462,0,a_noamd
N0083.jpg,0.955160,0.044840,0,a_noamd
N0084.jpg,0.957297,0.042703,0,a_noamd
N0085.jpg,0.954344,0.045656,0,a_noamd
N0086.jpg,0.952135,0.047865,0,a_noamd
N0087.jpg,0.929445,0.070555,0,a_noamd
N0088.jpg,0.947100,0.052900,0,a_noamd
N0089.jpg,0.955012,0.044988,0,a_noamd
N0090.jpg,0.955272,0.044728,0,a_noamd
N0091.jpg,0.954372,0.045628,0,a_noamd
N0092.jpg,0.952594,0.047405,0,a_noamd
N0093.jpg,0.954742,0.045258,0,a_noamd
N0094.jpg,0.954555,0.045445,0,a_noamd
N0095.jpg,0.955628,0.044372,0,a_noamd
N0096.jpg,0.955063,0.044937,0,a_noamd
N0097.jpg,0.355147,0.644853,1,b_amd
N0098.jpg,0.899444,0.100556,0,a_noamd
N0099.jpg,0.952251,0.047749,0,a_noamd
N0100.jpg,0.844732,0.155268,0,a_noamd
N0101.jpg,0.763768,0.236232,0,a_noamd
N0102.jpg,0.957131,0.042869,0,a_noamd
N0103.jpg,0.956503,0.043497,0,a_noamd
N0104.jpg,0.957268,0.042732,0,a_noamd
N0105.jpg,0.956551,0.043449,0,a_noamd
N0106.jpg,0.955371,0.044628,0,a_noamd
N0107.jpg,0.953811,0.046189,0,a_noamd
N0108.jpg,0.952819,0.047181,0,a_noamd
N0109.jpg,0.952803,0.047197,0,a_noamd
N0110.jpg,0.955902,0.044098,0,a_noamd
N0111.jpg,0.956297,0.043703,0,a_noamd
N0112.jpg,0.950746,0.049254,0,a_noamd
N0113.jpg,0.955393,0.044607,0,a_noamd
N0114.jpg,0.820912,0.179088,0,a_noamd
N0115.jpg,0.177753,0.822247,1,b_amd
