filename,a_noamd,b_amd,prediction
N0001.jpg,0.883987,0.116013,a_noamd
N0002.jpg,0.809607,0.190393,a_noamd
N0003.jpg,0.868764,0.131236,a_noamd
N0004.jpg,0.920689,0.079311,a_noamd
N0005.jpg,0.908368,0.091632,a_noamd
N0006.jpg,0.920432,0.079568,a_noamd
N0007.jpg,0.923899,0.076101,a_noamd
N0008.jpg,0.916150,0.083850,a_noamd
N0009.jpg,0.903869,0.096131,a_noamd
N0010.jpg,0.902122,0.097878,a_noamd
N0011.jpg,0.840367,0.159633,a_noamd
N0012.jpg,0.911647,0.088353,a_noamd
N0013.jpg,0.902806,0.097194,a_noamd
N0014.jpg,0.908546,0.091454,a_noamd
N0015.jpg,0.908838,0.091162,a_noamd
N0016.jpg,0.806039,0.193961,a_noamd
N0017.jpg,0.905883,0.094117,a_noamd
N0018.jpg,0.917629,0.082371,a_noamd
N0019.jpg,0.917704,0.082296,a_noamd
N0020.jpg,0.901502,0.098498,a_noamd
N0021.jpg,0.923838,0.076161,a_noamd
N0022.jpg,0.905643,0.094357,a_noamd
N0023.jpg,0.365511,0.634489,b_amd
N0024.jpg,0.566156,0.433844,a_noamd
N0025.jpg,0.857822,0.142178,a_noamd
N0026.jpg,0.794846,0.205154,a_noamd
N0027.jpg,0.933479,0.066521,a_noamd
N0028.jpg,0.903709,0.096291,a_noamd
N0029.jpg,0.850825,0.149175,a_noamd
N0030.jpg,0.756738,0.243262,a_noamd
N0031.jpg,0.844865,0.155135,a_noamd
N0032.jpg,0.639378,0.360622,a_noamd
N0033.jpg,0.923799,0.076201,a_noamd
N0034.jpg,0.904552,0.095449,a_noamd
N0035.jpg,0.301344,0.698656,b_amd
N0036.jpg,0.219753,0.780247,b_amd
N0037.jpg,0.905833,0.094167,a_noamd
N0038.jpg,0.813046,0.186954,a_noamd
N0039.jpg,0.588939,0.411061,a_noamd
N0040.jpg,0.578248,0.421752,a_noamd
N0041.jpg,0.257752,0.742248,b_amd
N0042.jpg,0.139664,0.860336,b_amd
N0043.jpg,0.379526,0.620474,b_amd
N0044.jpg,0.717225,0.282775,a_noamd
N0045.jpg,0.903021,0.096980,a_noamd
N0046.jpg,0.922030,0.077970,a_noamd
N0047.jpg,0.911318,0.088682,a_noamd
N0048.jpg,0.912643,0.087357,a_noamd
N0049.jpg,0.888398,0.111602,a_noamd
N0050.jpg,0.882996,0.117004,a_noamd
N0051.jpg,0.886579,0.113421,a_noamd
N0052.jpg,0.297891,0.702109,b_amd
N0053.jpg,0.226906,0.773094,b_amd
N0054.jpg,0.848589,0.151411,a_noamd
N0055.jpg,0.913462,0.086538,a_noamd
N0056.jpg,0.700760,0.299240,a_noamd
N0057.jpg,0.919223,0.080777,a_noamd
N0058.jpg,0.901411,0.098589,a_noamd
N0059.jpg,0.919309,0.080691,a_noamd
N0060.jpg,0.894232,0.105768,a_noamd
N0061.jpg,0.874995,0.125005,a_noamd
N0062.jpg,0.900269,0.099731,a_noamd
N0063.jpg,0.909483,0.090517,a_noamd
N0064.jpg,0.914062,0.085938,a_noamd
N0065.jpg,0.859265,0.140735,a_noamd
N0066.jpg,0.117780,0.882220,b_amd
N0067.jpg,0.249540,0.750460,b_amd
N0068.jpg,0.878006,0.121994,a_noamd
N0069.jpg,0.877946,0.122054,a_noamd
N0070.jpg,0.912638,0.087361,a_noamd
N0071.jpg,0.914582,0.085418,a_noamd
N0072.jpg,0.919009,0.080991,a_noamd
N0073.jpg,0.915098,0.084902,a_noamd
N0074.jpg,0.915473,0.084527,a_noamd
N0075.jpg,0.701779,0.298221,a_noamd
N0076.jpg,0.917624,0.082376,a_noamd
N0077.jpg,0.805858,0.194142,a_noamd
N0078.jpg,0.912279,0.087721,a_noamd
N0079.jpg,0.905361,0.094639,a_noamd
N0080.jpg,0.904832,0.095168,a_noamd
N0081.jpg,0.868333,0.131667,a_noamd
N0082.jpg,0.903513,0.096487,a_noamd
N0083.jpg,0.880818,0.119182,a_noamd
N0084.jpg,0.860186,0.139815,a_noamd
N0085.jpg,0.466393,0.533607,b_amd
N0086.jpg,0.543855,0.456145,a_noamd
N0087.jpg,0.807745,0.192255,a_noamd
N0088.jpg,0.284733,0.715267,b_amd
N0089.jpg,0.922780,0.077220,a_noamd
N0090.jpg,0.925023,0.074976,a_noamd
N0091.jpg,0.925843,0.074157,a_noamd
N0092.jpg,0.914621,0.085379,a_noamd
N0093.jpg,0.872410,0.127590,a_noamd
N0094.jpg,0.918256,0.081744,a_noamd
N0095.jpg,0.914995,0.085005,a_noamd
N0096.jpg,0.915875,0.084125,a_noamd
N0097.jpg,0.213405,0.786595,b_amd
N0098.jpg,0.215048,0.784952,b_amd
N0099.jpg,0.913823,0.086177,a_noamd
N0100.jpg,0.290883,0.709117,b_amd
N0101.jpg,0.697279,0.302721,a_noamd
N0102.jpg,0.862435,0.137565,a_noamd
N0103.jpg,0.903109,0.096891,a_noamd
N0104.jpg,0.915361,0.084639,a_noamd
N0105.jpg,0.920025,0.079975,a_noamd
N0106.jpg,0.927674,0.072326,a_noamd
N0107.jpg,0.927982,0.072018,a_noamd
N0108.jpg,0.912299,0.087701,a_noamd
N0109.jpg,0.932100,0.067900,a_noamd
N0110.jpg,0.903318,0.096682,a_noamd
N0111.jpg,0.897649,0.102351,a_noamd
N0112.jpg,0.899858,0.100142,a_noamd
N0113.jpg,0.900035,0.099965,a_noamd
N0114.jpg,0.609155,0.390845,a_noamd
N0115.jpg,0.234658,0.765342,b_amd
N0116.jpg,0.902961,0.097039,a_noamd
N0117.jpg,0.923859,0.076141,a_noamd
N0118.jpg,0.919255,0.080745,a_noamd
N0119.jpg,0.906663,0.093337,a_noamd
N0120.jpg,0.913458,0.086542,a_noamd
N0121.jpg,0.873973,0.126027,a_noamd
N0122.jpg,0.905837,0.094163,a_noamd
N0123.jpg,0.891793,0.108207,a_noamd
N0124.jpg,0.784487,0.215513,a_noamd
N0125.jpg,0.554634,0.445366,a_noamd
N0126.jpg,0.358748,0.641252,b_amd
N0127.jpg,0.646574,0.353426,a_noamd
N0128.jpg,0.112244,0.887756,b_amd
N0129.jpg,0.371803,0.628197,b_amd
N0130.jpg,0.429114,0.570886,b_amd
N0131.jpg,0.407887,0.592113,b_amd
N0132.jpg,0.624959,0.375041,a_noamd
N0133.jpg,0.668545,0.331455,a_noamd
N0134.jpg,0.887376,0.112624,a_noamd
N0135.jpg,0.902500,0.097500,a_noamd
N0136.jpg,0.916695,0.083305,a_noamd
N0137.jpg,0.816295,0.183705,a_noamd
N0138.jpg,0.895704,0.104296,a_noamd
N0139.jpg,0.903153,0.096847,a_noamd
N0140.jpg,0.804319,0.195680,a_noamd
N0141.jpg,0.900811,0.099189,a_noamd
N0142.jpg,0.929638,0.070362,a_noamd
N0143.jpg,0.908790,0.091210,a_noamd
N0144.jpg,0.866512,0.133488,a_noamd
N0145.jpg,0.745258,0.254742,a_noamd
N0146.jpg,0.923489,0.076511,a_noamd
N0147.jpg,0.929638,0.070362,a_noamd
N0148.jpg,0.908790,0.091210,a_noamd
N0149.jpg,0.866512,0.133488,a_noamd
N0150.jpg,0.890935,0.109065,a_noamd
N0151.jpg,0.753074,0.246926,a_noamd
N0152.jpg,0.556640,0.443360,a_noamd
N0153.jpg,0.786098,0.213902,a_noamd
N0154.jpg,0.710821,0.289179,a_noamd
N0155.jpg,0.843271,0.156729,a_noamd
N0156.jpg,0.913767,0.086233,a_noamd
N0157.jpg,0.922013,0.077987,a_noamd
N0158.jpg,0.916185,0.083815,a_noamd
N0159.jpg,0.900551,0.099449,a_noamd
N0160.jpg,0.917117,0.082883,a_noamd
N0161.jpg,0.916528,0.083472,a_noamd
N0162.jpg,0.459151,0.540849,b_amd
N0163.jpg,0.168679,0.831321,b_amd
N0164.jpg,0.846734,0.153266,a_noamd
N0165.jpg,0.920241,0.079759,a_noamd
N0166.jpg,0.867598,0.132402,a_noamd
N0167.jpg,0.595675,0.404325,a_noamd
N0168.jpg,0.885210,0.114791,a_noamd
N0169.jpg,0.825635,0.174365,a_noamd
N0170.jpg,0.892054,0.107946,a_noamd
N0171.jpg,0.848082,0.151917,a_noamd
N0172.jpg,0.892321,0.107679,a_noamd
N0173.jpg,0.868640,0.131360,a_noamd
N0174.jpg,0.813500,0.186500,a_noamd
N0175.jpg,0.516347,0.483653,a_noamd
N0176.jpg,0.904979,0.095021,a_noamd
N0177.jpg,0.884959,0.115041,a_noamd
N0178.jpg,0.814513,0.185487,a_noamd
N0179.jpg,0.892294,0.107706,a_noamd
N0180.jpg,0.129109,0.870890,b_amd
N0181.jpg,0.194574,0.805426,b_amd
N0182.jpg,0.736481,0.263519,a_noamd
N0183.jpg,0.915967,0.084033,a_noamd
N0184.jpg,0.917516,0.082484,a_noamd
N0185.jpg,0.917295,0.082705,a_noamd
N0186.jpg,0.892599,0.107401,a_noamd
N0187.jpg,0.814109,0.185891,a_noamd
N0188.jpg,0.711756,0.288244,a_noamd
N0189.jpg,0.811169,0.188831,a_noamd
N0190.jpg,0.907322,0.092678,a_noamd
N0191.jpg,0.565699,0.434301,a_noamd
N0192.jpg,0.590382,0.409618,a_noamd
N0193.jpg,0.226092,0.773908,b_amd
N0194.jpg,0.805300,0.194700,a_noamd
N0195.jpg,0.203589,0.796411,b_amd
N0196.jpg,0.925037,0.074963,a_noamd
N0197.jpg,0.906614,0.093386,a_noamd
N0198.jpg,0.919499,0.080501,a_noamd
N0199.jpg,0.918842,0.081158,a_noamd
N0200.jpg,0.168146,0.831854,b_amd
N0201.jpg,0.173756,0.826244,b_amd
N0202.jpg,0.755020,0.244980,a_noamd
N0203.jpg,0.872753,0.127247,a_noamd
N0204.jpg,0.926191,0.073809,a_noamd
N0205.jpg,0.914710,0.085290,a_noamd
N0206.jpg,0.906756,0.093244,a_noamd
N0207.jpg,0.901517,0.098483,a_noamd
N0208.jpg,0.884671,0.115329,a_noamd
N0209.jpg,0.912858,0.087142,a_noamd
N0210.jpg,0.923677,0.076323,a_noamd
N0211.jpg,0.841700,0.158300,a_noamd
N0212.jpg,0.841194,0.158806,a_noamd
N0213.jpg,0.919608,0.080392,a_noamd
N0214.jpg,0.430304,0.569696,b_amd
N0215.jpg,0.849538,0.150462,a_noamd
N0216.jpg,0.911974,0.088027,a_noamd
N0217.jpg,0.916349,0.083651,a_noamd
N0218.jpg,0.861657,0.138343,a_noamd
