image_path,predicted_class,confidence,prob_a_noamd,prob_b_amd
../../../data/data_ADAM/test/a_noamd/N0001.jpg,a_noamd,0.655,0.655,0.3452
../../../data/data_ADAM/test/a_noamd/N0002.jpg,b_amd,0.787,0.213,0.787
../../../data/data_ADAM/test/a_noamd/N0003.jpg,a_noamd,0.714,0.714,0.2861
../../../data/data_ADAM/test/a_noamd/N0004.jpg,a_noamd,0.6733,0.6733,0.3264
../../../data/data_ADAM/test/a_noamd/N0005.jpg,a_noamd,0.584,0.584,0.416
../../../data/data_ADAM/test/a_noamd/N0006.jpg,a_noamd,0.692,0.692,0.308
../../../data/data_ADAM/test/a_noamd/N0007.jpg,a_noamd,0.7847,0.7847,0.2153
../../../data/data_ADAM/test/a_noamd/N0008.jpg,a_noamd,0.763,0.763,0.237
../../../data/data_ADAM/test/a_noamd/N0009.jpg,a_noamd,0.679,0.679,0.321
../../../data/data_ADAM/test/a_noamd/N0010.jpg,b_amd,0.5054,0.4949,0.5054
../../../data/data_ADAM/test/a_noamd/N0011.jpg,b_amd,0.588,0.412,0.588
../../../data/data_ADAM/test/a_noamd/N0012.jpg,a_noamd,0.757,0.757,0.2429
../../../data/data_ADAM/test/a_noamd/N0013.jpg,a_noamd,0.7476,0.7476,0.2524
../../../data/data_ADAM/test/a_noamd/N0014.jpg,a_noamd,0.7017,0.7017,0.2986
../../../data/data_ADAM/test/a_noamd/N0015.jpg,a_noamd,0.7354,0.7354,0.2646
../../../data/data_ADAM/test/a_noamd/N0016.jpg,a_noamd,0.6562,0.6562,0.3438
../../../data/data_ADAM/test/a_noamd/N0017.jpg,a_noamd,0.7505,0.7505,0.2494
../../../data/data_ADAM/test/a_noamd/N0018.jpg,a_noamd,0.758,0.758,0.2422
../../../data/data_ADAM/test/a_noamd/N0019.jpg,a_noamd,0.7573,0.7573,0.2427
../../../data/data_ADAM/test/a_noamd/N0020.jpg,a_noamd,0.7124,0.7124,0.2878
../../../data/data_ADAM/test/a_noamd/N0021.jpg,a_noamd,0.651,0.651,0.349
../../../data/data_ADAM/test/a_noamd/N0022.jpg,a_noamd,0.5317,0.5317,0.4683
../../../data/data_ADAM/test/a_noamd/N0023.jpg,a_noamd,0.6504,0.6504,0.3496
../../../data/data_ADAM/test/a_noamd/N0024.jpg,a_noamd,0.6475,0.6475,0.3523
../../../data/data_ADAM/test/a_noamd/N0025.jpg,a_noamd,0.7393,0.7393,0.261
../../../data/data_ADAM/test/a_noamd/N0026.jpg,a_noamd,0.7,0.7,0.2998
../../../data/data_ADAM/test/a_noamd/N0027.jpg,a_noamd,0.75,0.75,0.25
../../../data/data_ADAM/test/a_noamd/N0028.jpg,a_noamd,0.6494,0.6494,0.3506
../../../data/data_ADAM/test/a_noamd/N0029.jpg,a_noamd,0.74,0.74,0.2598
../../../data/data_ADAM/test/a_noamd/N0030.jpg,a_noamd,0.675,0.675,0.3252
../../../data/data_ADAM/test/a_noamd/N0031.jpg,a_noamd,0.653,0.653,0.3472
