image_path,predicted_class,confidence,prob_anormal,prob_cglaucoma
../../../data/data_VEIRC/test/anormal/image_001_170.jpg,cglaucoma,0.567,0.433,0.567
../../../data/data_VEIRC/test/anormal/image_002_202.jpg,cglaucoma,0.729,0.271,0.729
../../../data/data_VEIRC/test/anormal/image_003_50.jpg,cglaucoma,0.531,0.4692,0.531
../../../data/data_VEIRC/test/anormal/image_004_65.jpg,cglaucoma,0.7114,0.2886,0.7114
../../../data/data_VEIRC/test/anormal/image_005_13.jpg,cglaucoma,0.6934,0.307,0.6934
../../../data/data_VEIRC/test/anormal/image_006_4.jpg,cglaucoma,0.5527,0.4475,0.5527
../../../data/data_VEIRC/test/anormal/image_007_5.jpg,cglaucoma,0.698,0.3015,0.698
../../../data/data_VEIRC/test/anormal/image_008_116.jpg,cglaucoma,0.6245,0.3752,0.6245
../../../data/data_VEIRC/test/anormal/image_009_125.jpg,cglaucoma,0.5244,0.4758,0.5244
../../../data/data_VEIRC/test/anormal/image_010_41.jpg,cglaucoma,0.533,0.4668,0.533
../../../data/data_VEIRC/test/anormal/image_011_214.jpg,cglaucoma,0.54,0.46,0.54
../../../data/data_VEIRC/test/anormal/image_012_56.jpg,cglaucoma,0.7495,0.2505,0.7495
../../../data/data_VEIRC/test/anormal/image_013_71.jpg,cglaucoma,0.749,0.2512,0.749
../../../data/data_VEIRC/test/anormal/image_014_59.jpg,cglaucoma,0.5405,0.4597,0.5405
../../../data/data_VEIRC/test/anormal/image_015_209.jpg,cglaucoma,0.631,0.3691,0.631
../../../data/data_VEIRC/test/anormal/image_016_82.jpg,anormal,0.5093,0.5093,0.4907
../../../data/data_VEIRC/test/anormal/image_017_93.jpg,anormal,0.518,0.518,0.4822
../../../data/data_VEIRC/test/anormal/image_018_120.jpg,cglaucoma,0.6807,0.3196,0.6807
../../../data/data_VEIRC/test/anormal/image_019_168.jpg,cglaucoma,0.664,0.336,0.664
