image_path,true_class,predicted_class,correct,prob_a_noamd,prob_b_amd
../../../data/data_ADAM/test/a_noamd/N0001.jpg,a_noamd,a_noamd,True,0.8659759759902954,0.13402403891086578
../../../data/data_ADAM/test/a_noamd/N0002.jpg,a_noamd,a_noamd,True,0.8645666241645813,0.1354333758354187
../../../data/data_ADAM/test/a_noamd/N0003.jpg,a_noamd,a_noamd,True,0.8694068789482117,0.13059307634830475
../../../data/data_ADAM/test/a_noamd/N0004.jpg,a_noamd,a_noamd,True,0.8658093810081482,0.1341906189918518
../../../data/data_ADAM/test/a_noamd/N0005.jpg,a_noamd,a_noamd,True,0.8744801878929138,0.1255197674036026
../../../data/data_ADAM/test/a_noamd/N0006.jpg,a_noamd,a_noamd,True,0.8659147620201111,0.1340852975845337
../../../data/data_ADAM/test/a_noamd/N0007.jpg,a_noamd,a_noamd,True,0.8647606372833252,0.1352393925189972
../../../data/data_ADAM/test/a_noamd/N0008.jpg,a_noamd,a_noamd,True,0.8661382794380188,0.13386178016662598
../../../data/data_ADAM/test/a_noamd/N0009.jpg,a_noamd,a_noamd,True,0.8651313781738281,0.13486860692501068
../../../data/data_ADAM/test/a_noamd/N0010.jpg,a_noamd,a_noamd,True,0.8652969002723694,0.13470305502414703
../../../data/data_ADAM/test/a_noamd/N0011.jpg,a_noamd,a_noamd,True,0.8652030229568481,0.13479699194431305
../../../data/data_ADAM/test/a_noamd/N0012.jpg,a_noamd,a_noamd,True,0.8652726411819458,0.13472731411457062
../../../data/data_ADAM/test/a_noamd/N0013.jpg,a_noamd,a_noamd,True,0.8646195530891418,0.13538041710853577
../../../data/data_ADAM/test/a_noamd/N0014.jpg,a_noamd,a_noamd,True,0.865382969379425,0.13461701571941376
../../../data/data_ADAM/test/a_noamd/N0015.jpg,a_noamd,a_noamd,True,0.8664383292198181,0.13356170058250427
../../../data/data_ADAM/test/a_noamd/N0016.jpg,a_noamd,a_noamd,True,0.8661929965019226,0.13380694389343262
../../../data/data_ADAM/test/a_noamd/N0017.jpg,a_noamd,a_noamd,True,0.8650416135787964,0.1349584013223648
../../../data/data_ADAM/test/a_noamd/N0018.jpg,a_noamd,a_noamd,True,0.8648503422737122,0.13514968752861023
../../../data/data_ADAM/test/a_noamd/N0019.jpg,a_noamd,a_noamd,True,0.8647803664207458,0.13521967828273773
../../../data/data_ADAM/test/a_noamd/N0020.jpg,a_noamd,a_noamd,True,0.865365743637085,0.13463424146175385
../../../data/data_ADAM/test/a_noamd/N0021.jpg,a_noamd,a_noamd,True,0.8654187917709351,0.13458119332790375
../../../data/data_ADAM/test/a_noamd/N0022.jpg,a_noamd,a_noamd,True,0.8664678335189819,0.13353213667869568
../../../data/data_ADAM/test/a_noamd/N0023.jpg,a_noamd,a_noamd,True,0.8719462752342224,0.12805375456809998
../../../data/data_ADAM/test/a_noamd/N0024.jpg,a_noamd,a_noamd,True,0.8721034526824951,0.12789659202098846
../../../data/data_ADAM/test/a_noamd/N0025.jpg,a_noamd,a_noamd,True,0.8689183592796326,0.13108164072036743
../../../data/data_ADAM/test/a_noamd/N0026.jpg,a_noamd,a_noamd,True,0.8705079555511475,0.12949210405349731
../../../data/data_ADAM/test/a_noamd/N0027.jpg,a_noamd,a_noamd,True,0.8671389818191528,0.13286100327968597
../../../data/data_ADAM/test/a_noamd/N0028.jpg,a_noamd,a_noamd,True,0.8655756711959839,0.13442429900169373
../../../data/data_ADAM/test/a_noamd/N0029.jpg,a_noamd,a_noamd,True,0.8663700222969055,0.1336299329996109
../../../data/data_ADAM/test/a_noamd/N0030.jpg,a_noamd,a_noamd,True,0.8665030002593994,0.13349701464176178
../../../data/data_ADAM/test/a_noamd/N0031.jpg,a_noamd,a_noamd,True,0.8651397824287415,0.13486027717590332
../../../data/data_ADAM/test/a_noamd/N0032.jpg,a_noamd,a_noamd,True,0.865625262260437,0.1343747079372406
../../../data/data_ADAM/test/a_noamd/N0033.jpg,a_noamd,a_noamd,True,0.8667704463005066,0.13322947919368744
../../../data/data_ADAM/test/a_noamd/N0034.jpg,a_noamd,a_noamd,True,0.8671541213989258,0.13284581899642944
../../../data/data_ADAM/test/a_noamd/N0035.jpg,a_noamd,a_noamd,True,0.872464120388031,0.12753590941429138
../../../data/data_ADAM/test/a_noamd/N0036.jpg,a_noamd,a_noamd,True,0.8744281530380249,0.1255718320608139
../../../data/data_ADAM/test/a_noamd/N0037.jpg,a_noamd,a_noamd,True,0.8688622713088989,0.13113778829574585
../../../data/data_ADAM/test/a_noamd/N0038.jpg,a_noamd,a_noamd,True,0.8674209713935852,0.13257896900177002
