filename,predicted_class,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr
20051020_43808_0100_PP_967.png,anodr,0.91610974,0.02528295,0.02518514,0.017778322,0.015643813
20051020_44261_0100_PP_1191.png,anodr,0.907019,0.03191652,0.022782339,0.020839589,0.017442487
20051020_44284_0100_PP_502.png,anodr,0.9004744,0.02705244,0.025487188,0.025838986,0.021146966
20051020_44338_0100_PP_547.png,bmilddr,0.28479284,0.42463112,0.25587267,0.019389702,0.0153136635
20051020_44400_0100_PP_920.png,anodr,0.8821193,0.055869184,0.027570197,0.01806866,0.016372647
20051020_44431_0100_PP_514.png,anodr,0.8438078,0.078456596,0.04346574,0.017913489,0.016356416
20051020_44692_0100_PP_419.png,anodr,0.86359024,0.03342621,0.038298454,0.016171476,0.048513595
20051020_44714_0100_PP_1199.png,anodr,0.91782075,0.031191813,0.017978223,0.01603522,0.016973995
20051020_44982_0100_PP_486.png,anodr,0.7697452,0.15108939,0.04510799,0.019082151,0.014975283
20051020_56791_0100_PP_1185.png,anodr,0.918379,0.030784676,0.01778112,0.016555449,0.016499715
20051020_57157_0100_PP_971.png,bmilddr,0.21404745,0.6251409,0.13711533,0.012523629,0.011172716
20051020_57967_0100_PP_829.png,anodr,0.9212695,0.023549952,0.016729008,0.019231064,0.019220505
20051020_58065_0100_PP_561.png,anodr,0.91847634,0.026655464,0.016534379,0.018108346,0.020225538
20051020_61757_0100_PP_484.png,anodr,0.9211158,0.019239195,0.018575583,0.020286852,0.020782582
20051020_62461_0100_PP_76.png,cmoderatedr,0.19262414,0.16847113,0.58435935,0.021860052,0.032685302
20051020_62510_0100_PP_106.png,cmoderatedr,0.06313932,0.061143268,0.7534908,0.04313681,0.07908981
20051020_62577_0100_PP_479.png,anodr,0.9210343,0.026231281,0.017917383,0.01815198,0.016665166
20051020_62615_0100_PP_294.png,anodr,0.9122369,0.028847525,0.020108603,0.019911408,0.018895494
20051020_63269_0100_PP_1183.png,anodr,0.9135068,0.026906895,0.022406572,0.018683894,0.018495819
20051020_63337_0100_PP_471.png,anodr,0.9004229,0.03955913,0.021226566,0.020713355,0.018078111
20051020_64249_0100_PP_1004.png,anodr,0.90677303,0.035857107,0.018829731,0.01800753,0.020532615
20051020_64388_0100_PP_1194.png,anodr,0.9141031,0.023399714,0.019108392,0.022078225,0.0213106
20051020_64653_0100_PP_124.png,anodr,0.91873366,0.03578717,0.017469635,0.013868059,0.014141433
20051020_64775_0100_PP_480.png,anodr,0.9096241,0.041223675,0.018202208,0.016621195,0.014328797
20051020_64836_0100_PP_1270.png,anodr,0.8920592,0.05890438,0.018814865,0.01568158,0.014540046
20051021_36380_0100_PP_135.png,anodr,0.920392,0.027534205,0.016740058,0.017300209,0.018033573
20051021_36476_0100_PP_1243.png,anodr,0.92353094,0.022030229,0.017364658,0.018056331,0.019017735
20051021_39845_0100_PP_315.png,anodr,0.91395193,0.02642174,0.017994534,0.020958617,0.020673212
20051021_39914_0100_PP_1352.png,anodr,0.9116546,0.025776653,0.020882335,0.022781944,0.018904487
20051021_51418_0100_PP_18.png,anodr,0.9072376,0.031853966,0.01979319,0.02075544,0.020359924
20051021_51476_0100_PP_150.png,anodr,0.8517185,0.069986686,0.036629684,0.021573836,0.020091338
20051021_51936_0100_PP_1379.png,anodr,0.8907975,0.054913066,0.020860378,0.015894787,0.017534276
20051021_51994_0100_PP_1283.png,anodr,0.8907712,0.049631417,0.022292601,0.01788874,0.01941598
20051021_57798_0100_PP_1322.png,anodr,0.8587323,0.068796694,0.03622069,0.01931887,0.016931528
20051021_57862_0100_PP_372.png,anodr,0.8979364,0.045727685,0.022476612,0.017635835,0.01622346
20051021_57975_0100_PP_517.png,anodr,0.6212143,0.16722855,0.16468729,0.020101866,0.026768021
20051021_58035_0100_PP_1138.png,anodr,0.8667004,0.05926017,0.039274644,0.01834077,0.016424
20051021_58388_0100_PP_1300.png,anodr,0.90204763,0.023101998,0.027030773,0.025760923,0.022058686
20051021_58522_0100_PP_50.png,anodr,0.92012906,0.019531896,0.020735579,0.020371249,0.019232186
20051109_57843_0400_PP_1109.png,anodr,0.9136098,0.029143447,0.022815894,0.018702518,0.015728327
20051109_59969_0400_PP_1079.png,anodr,0.90788925,0.035678245,0.021649325,0.016577397,0.01820581
