filename,prob_a_noamd,prob_b_amd,pred_class
N0001.jpg,0.548317,0.451683,a_noamd
N0002.jpg,0.610140,0.389860,a_noamd
N0003.jpg,0.740805,0.259195,a_noamd
N0004.jpg,0.706591,0.293409,a_noamd
N0005.jpg,0.627427,0.372573,a_noamd
N0006.jpg,0.668086,0.331914,a_noamd
N0007.jpg,0.633007,0.366993,a_noamd
N0008.jpg,0.660331,0.339669,a_noamd
N0009.jpg,0.617493,0.382507,a_noamd
N0010.jpg,0.718010,0.281990,a_noamd
N0011.jpg,0.607699,0.392301,a_noamd
N0012.jpg,0.620605,0.379395,a_noamd
N0013.jpg,0.651750,0.348250,a_noamd
N0014.jpg,0.636665,0.363335,a_noamd
N0015.jpg,0.659628,0.340372,a_noamd
N0016.jpg,0.632609,0.367391,a_noamd
N0017.jpg,0.662575,0.337425,a_noamd
N0018.jpg,0.596647,0.403353,a_noamd
N0019.jpg,0.606044,0.393956,a_noamd
N0020.jpg,0.760557,0.239443,a_noamd
N0021.jpg,0.728096,0.271904,a_noamd
N0022.jpg,0.715117,0.284883,a_noamd
N0023.jpg,0.616661,0.383339,a_noamd
N0024.jpg,0.616420,0.383580,a_noamd
N0025.jpg,0.685292,0.314708,a_noamd
N0026.jpg,0.618443,0.381557,a_noamd
N0027.jpg,0.595673,0.404327,a_noamd
N0028.jpg,0.591648,0.408352,a_noamd
N0029.jpg,0.596938,0.403062,a_noamd
N0030.jpg,0.637040,0.362960,a_noamd
N0031.jpg,0.633369,0.366631,a_noamd
N0032.jpg,0.632315,0.367685,a_noamd
N0033.jpg,0.625992,0.374008,a_noamd
N0034.jpg,0.611942,0.388058,a_noamd
N0035.jpg,0.667909,0.332091,a_noamd
N0036.jpg,0.663921,0.336079,a_noamd
N0037.jpg,0.602621,0.397379,a_noamd
N0038.jpg,0.613856,0.386144,a_noamd
N0039.jpg,0.602453,0.397547,a_noamd
N0040.jpg,0.632958,0.367042,a_noamd
N0041.jpg,0.596278,0.403722,a_noamd
N0042.jpg,0.614962,0.385038,a_noamd
N0043.jpg,0.598452,0.401548,a_noamd
N0044.jpg,0.670512,0.329488,a_noamd
N0045.jpg,0.645693,0.354307,a_noamd
N0046.jpg,0.718161,0.281839,a_noamd
N0047.jpg,0.621071,0.378929,a_noamd
N0048.jpg,0.641212,0.358788,a_noamd
N0049.jpg,0.601853,0.398147,a_noamd
N0050.jpg,0.628606,0.371394,a_noamd
N0051.jpg,0.677368,0.322632,a_noamd
N0052.jpg,0.615465,0.384535,a_noamd
N0053.jpg,0.672568,0.327432,a_noamd
N0054.jpg,0.617725,0.382275,a_noamd
N0055.jpg,0.604551,0.395449,a_noamd
N0056.jpg,0.559680,0.440320,a_noamd
N0057.jpg,0.698897,0.301103,a_noamd
N0058.jpg,0.626247,0.373753,a_noamd
N0059.jpg,0.679242,0.320758,a_noamd
N0060.jpg,0.616179,0.383821,a_noamd
N0061.jpg,0.613258,0.386742,a_noamd
N0062.jpg,0.602262,0.397738,a_noamd
N0063.jpg,0.582457,0.417543,a_noamd
N0064.jpg,0.603996,0.396004,a_noamd
N0065.jpg,0.618217,0.381783,a_noamd
N0066.jpg,0.597457,0.402543,a_noamd
N0067.jpg,0.628450,0.371550,a_noamd
N0068.jpg,0.592260,0.407740,a_noamd
N0069.jpg,0.602404,0.397596,a_noamd
N0070.jpg,0.659995,0.340005,a_noamd
N0071.jpg,0.686477,0.313523,a_noamd
N0072.jpg,0.645719,0.354281,a_noamd
N0073.jpg,0.632159,0.367841,a_noamd
N0074.jpg,0.630349,0.369651,a_noamd
N0075.jpg,0.587791,0.412209,a_noamd
N0076.jpg,0.639724,0.360276,a_noamd
N0077.jpg,0.562953,0.437047,a_noamd
N0078.jpg,0.652338,0.347662,a_noamd
N0079.jpg,0.685819,0.314181,a_noamd
N0080.jpg,0.665708,0.334292,a_noamd
N0081.jpg,0.611022,0.388978,a_noamd
N0082.jpg,0.618989,0.381011,a_noamd
N0083.jpg,0.650551,0.349449,a_noamd
N0084.jpg,0.681508,0.318492,a_noamd
N0085.jpg,0.569021,0.430979,a_noamd
N0086.jpg,0.624767,0.375233,a_noamd
N0087.jpg,0.673664,0.326336,a_noamd
N0088.jpg,0.712764,0.287236,a_noamd
N0089.jpg,0.617936,0.382064,a_noamd
N0090.jpg,0.653315,0.346686,a_noamd
