filename,true_class,predicted_class,confidence,prob_anormal,prob_cglaucoma
anormal/image_001_170.jpg,anormal,anormal,0.836756,0.836756,0.163244
anormal/image_002_202.jpg,anormal,anormal,0.799344,0.799344,0.200656
anormal/image_003_50.jpg,anormal,anormal,0.744807,0.744807,0.255193
anormal/image_004_65.jpg,anormal,anormal,0.785021,0.785021,0.214978
anormal/image_005_13.jpg,anormal,anormal,0.834357,0.834357,0.165643
anormal/image_006_4.jpg,anormal,anormal,0.768612,0.768612,0.231388
anormal/image_007_5.jpg,anormal,anormal,0.816863,0.816863,0.183137
anormal/image_008_116.jpg,anormal,anormal,0.840278,0.840278,0.159722
anormal/image_009_125.jpg,anormal,anormal,0.854361,0.854361,0.145639
anormal/image_010_41.jpg,anormal,anormal,0.783781,0.783781,0.216219
anormal/image_011_214.jpg,anormal,anormal,0.857415,0.857415,0.142585
anormal/image_012_56.jpg,anormal,anormal,0.747176,0.747176,0.252824
anormal/image_013_71.jpg,anormal,anormal,0.837668,0.837668,0.162332
anormal/image_014_59.jpg,anormal,anormal,0.843990,0.843990,0.156010
anormal/image_015_209.jpg,anormal,anormal,0.840651,0.840651,0.159349
anormal/image_016_82.jpg,anormal,anormal,0.858162,0.858162,0.141838
anormal/image_017_93.jpg,anormal,anormal,0.738493,0.738493,0.261507
anormal/image_018_120.jpg,anormal,anormal,0.848245,0.848245,0.151755
anormal/image_019_168.jpg,anormal,anormal,0.814735,0.814735,0.185265
anormal/image_020_10.jpg,anormal,anormal,0.850183,0.850183,0.149817
anormal/image_021_26.jpg,anormal,anormal,0.853313,0.853313,0.146687
anormal/image_022_55.jpg,anormal,anormal,0.855673,0.855673,0.144327
anormal/image_023_103.jpg,anormal,anormal,0.832617,0.832617,0.167383
anormal/image_024_200.jpg,anormal,anormal,0.848848,0.848848,0.151152
anormal/image_025_99.jpg,anormal,anormal,0.798619,0.798619,0.201381
anormal/image_026_146.jpg,anormal,anormal,0.802323,0.802323,0.197677
anormal/image_027_32.jpg,anormal,anormal,0.819310,0.819310,0.180690
anormal/image_028_96.jpg,anormal,anormal,0.802157,0.802157,0.197843
anormal/image_029_217.jpg,anormal,anormal,0.782077,0.782077,0.217923
anormal/image_030_219.jpg,anormal,anormal,0.860167,0.860167,0.139833
anormal/image_031_49.jpg,anormal,anormal,0.846049,0.846049,0.153951
anormal/image_032_39.jpg,anormal,anormal,0.846111,0.846111,0.153889
anormal/image_033_187.jpg,anormal,anormal,0.725439,0.725439,0.274561
anormal/image_034_36.jpg,anormal,anormal,0.853799,0.853799,0.146201
anormal/image_035_160.jpg,anormal,anormal,0.813652,0.813652,0.186348
anormal/image_036_25.jpg,anormal,anormal,0.862655,0.862655,0.137345
anormal/image_037_178.jpg,anormal,anormal,0.818157,0.818157,0.181843
anormal/image_038_95.jpg,anormal,anormal,0.795955,0.795955,0.204045
anormal/image_039_12.jpg,anormal,anormal,0.796533,0.796533,0.203467
anormal/image_040_16.jpg,anormal,anormal,0.836895,0.836895,0.163105
anormal/image_041_108.jpg,anormal,anormal,0.838690,0.838690,0.161310
anormal/image_042_63.jpg,anormal,anormal,0.855261,0.855261,0.144739
