image_path,true_label,predicted_label,confidence,prob_anormal,prob_cglaucoma
../../../data/data_VEIRC/test/anormal/image_001_170.jpg,anormal,anormal,0.9474,0.9474061727523804,0.05259380862116814
../../../data/data_VEIRC/test/anormal/image_002_202.jpg,anormal,anormal,0.9561,0.9560673832893372,0.04393262788653374
../../../data/data_VEIRC/test/anormal/image_003_50.jpg,anormal,anormal,0.9415,0.9415342807769775,0.05846571922302246
../../../data/data_VEIRC/test/anormal/image_004_65.jpg,anormal,anormal,0.9691,0.9690506458282471,0.030949406325817108
../../../data/data_VEIRC/test/anormal/image_005_13.jpg,anormal,anormal,0.9678,0.9678229093551636,0.032177045941352844
../../../data/data_VEIRC/test/anormal/image_006_4.jpg,anormal,anormal,0.9686,0.9685726165771484,0.031427331268787384
../../../data/data_VEIRC/test/anormal/image_007_5.jpg,anormal,anormal,0.9133,0.9133093953132629,0.08669062703847885
../../../data/data_VEIRC/test/anormal/image_008_116.jpg,anormal,anormal,0.9202,0.9202051758766174,0.07979480922222137
../../../data/data_VEIRC/test/anormal/image_009_125.jpg,anormal,anormal,0.9616,0.9616193771362305,0.03838063403964043
../../../data/data_VEIRC/test/anormal/image_010_41.jpg,anormal,anormal,0.9497,0.9496623873710632,0.05033763125538826
../../../data/data_VEIRC/test/anormal/image_011_214.jpg,anormal,anormal,0.9807,0.9807352423667908,0.019264768809080124
../../../data/data_VEIRC/test/anormal/image_012_56.jpg,anormal,anormal,0.8389,0.8388627171516418,0.16113725304603577
../../../data/data_VEIRC/test/anormal/image_013_71.jpg,anormal,anormal,0.9680,0.967986524105072,0.03201352432370186
../../../data/data_VEIRC/test/anormal/image_014_59.jpg,anormal,anormal,0.9608,0.9608212113380432,0.0391787551343441
../../../data/data_VEIRC/test/anormal/image_015_209.jpg,anormal,anormal,0.9557,0.9557271003723145,0.04427284747362137
../../../data/data_VEIRC/test/anormal/image_016_82.jpg,anormal,anormal,0.7985,0.7985423803329468,0.20145757496356964
../../../data/data_VEIRC/test/anormal/image_017_93.jpg,anormal,anormal,0.8328,0.8328273892402649,0.1671726107597351
../../../data/data_VEIRC/test/anormal/image_018_120.jpg,anormal,anormal,0.9742,0.9742109179496765,0.025789039209485054
../../../data/data_VEIRC/test/anormal/image_019_168.jpg,anormal,anormal,0.9245,0.9244887828826904,0.0755111575126648
../../../data/data_VEIRC/test/anormal/image_020_10.jpg,anormal,anormal,0.8889,0.8888760805130005,0.11112397164106369
../../../data/data_VEIRC/test/anormal/image_021_26.jpg,anormal,anormal,0.9725,0.9724660515785217,0.027533922344446182
../../../data/data_VEIRC/test/anormal/image_022_55.jpg,anormal,anormal,0.9715,0.9715180993080139,0.028481943532824516
../../../data/data_VEIRC/test/anormal/image_023_103.jpg,anormal,anormal,0.8610,0.8609591126441956,0.13904090225696564
../../../data/data_VEIRC/test/anormal/image_024_200.jpg,anormal,anormal,0.9637,0.963683009147644,0.03631705790758133
../../../data/data_VEIRC/test/anormal/image_025_99.jpg,anormal,anormal,0.8801,0.8801408410072327,0.1198592260479927
../../../data/data_VEIRC/test/anormal/image_026_146.jpg,anormal,anormal,0.9635,0.9634584188461304,0.03654155507683754
../../../data/data_VEIRC/test/anormal/image_027_32.jpg,anormal,anormal,0.9692,0.9691818356513977,0.03081822209060192
../../../data/data_VEIRC/test/anormal/image_028_96.jpg,anormal,anormal,0.9485,0.9484660029411316,0.0515340156853199
../../../data/data_VEIRC/test/anormal/image_029_217.jpg,anormal,anormal,0.8826,0.8825631141662598,0.11743690818548203
../../../data/data_VEIRC/test/anormal/image_030_219.jpg,anormal,anormal,0.9647,0.9646613001823425,0.035338640213012695
../../../data/data_VEIRC/test/anormal/image_031_49.jpg,anormal,anormal,0.9114,0.9114446043968201,0.08855541050434113
../../../data/data_VEIRC/test/anormal/image_032_39.jpg,anormal,anormal,0.9475,0.9474595785140991,0.05254044383764267
../../../data/data_VEIRC/test/anormal/image_033_187.jpg,anormal,anormal,0.7471,0.7470906972885132,0.25290924310684204
../../../data/data_VEIRC/test/anormal/image_034_36.jpg,anormal,anormal,0.9276,0.9276400208473206,0.07235992699861526
../../../data/data_VEIRC/test/anormal/image_035_160.jpg,anormal,anormal,0.9596,0.9595608711242676,0.04043909162282944
../../../data/data_VEIRC/test/anormal/image_036_25.jpg,anormal,anormal,0.8761,0.8761180639266968,0.12388189136981964
../../../data/data_VEIRC/test/anormal/image_037_178.jpg,anormal,anormal,0.9242,0.924156665802002,0.07584330439567566
../../../data/data_VEIRC/test/anormal/image_038_95.jpg,anormal,anormal,0.9384,0.9383624196052551,0.06163759529590607
../../../data/data_VEIRC/test/anormal/image_039_12.jpg,anormal,anormal,0.9013,0.9012596011161804,0.09874037653207779
../../../data/data_VEIRC/test/anormal/image_040_16.jpg,anormal,anormal,0.9215,0.9214580655097961,0.07854188233613968
../../../data/data_VEIRC/test/anormal/image_041_108.jpg,anormal,anormal,0.7059,0.7059157490730286,0.29408425092697144
