filename,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr,predicted_label
20051020_43808_0100_PP_967.png,0.913577,0.020046,0.027426,0.020302,0.018649,anodr
20051020_44261_0100_PP_1191.png,0.919183,0.019434,0.020993,0.021220,0.019170,anodr
20051020_44284_0100_PP_502.png,0.855502,0.032182,0.070757,0.019179,0.022379,anodr
20051020_44338_0100_PP_547.png,0.907967,0.024339,0.028427,0.019538,0.019729,anodr
20051020_44400_0100_PP_920.png,0.906205,0.030468,0.024458,0.019216,0.019653,anodr
20051020_44431_0100_PP_514.png,0.898154,0.036425,0.028928,0.017979,0.018514,anodr
20051020_44692_0100_PP_419.png,0.916555,0.020111,0.022612,0.020689,0.020033,anodr
20051020_44714_0100_PP_1199.png,0.918121,0.024017,0.018059,0.019833,0.019969,anodr
20051020_44982_0100_PP_486.png,0.915889,0.022029,0.021709,0.021309,0.019064,anodr
20051020_56791_0100_PP_1185.png,0.919806,0.019258,0.020421,0.021048,0.019466,anodr
20051020_57157_0100_PP_971.png,0.915914,0.020554,0.024361,0.020255,0.018917,anodr
20051020_57967_0100_PP_829.png,0.923076,0.019498,0.017615,0.020334,0.019479,anodr
20051020_58065_0100_PP_561.png,0.921058,0.022240,0.018710,0.019191,0.018801,anodr
20051020_61757_0100_PP_484.png,0.915464,0.017015,0.025970,0.022365,0.019186,anodr
20051020_62461_0100_PP_76.png,0.852647,0.052190,0.058937,0.019041,0.017185,anodr
20051020_62510_0100_PP_106.png,0.067510,0.081383,0.800843,0.021741,0.028523,cmoderatedr
20051020_62577_0100_PP_479.png,0.917933,0.018646,0.021693,0.022014,0.019714,anodr
20051020_62615_0100_PP_294.png,0.918532,0.018137,0.021392,0.021665,0.020273,anodr
20051020_63269_0100_PP_1183.png,0.920691,0.019619,0.019127,0.020400,0.020163,anodr
20051020_63337_0100_PP_471.png,0.918523,0.019939,0.020332,0.020532,0.020673,anodr
20051020_64249_0100_PP_1004.png,0.908774,0.020195,0.031112,0.021020,0.018898,anodr
20051020_64388_0100_PP_1194.png,0.919357,0.017037,0.021791,0.021642,0.020173,anodr
20051020_64653_0100_PP_124.png,0.921363,0.017058,0.020001,0.021063,0.020515,anodr
20051020_64775_0100_PP_480.png,0.920545,0.015731,0.020517,0.022163,0.021045,anodr
20051020_64836_0100_PP_1270.png,0.906452,0.020521,0.034099,0.020461,0.018467,anodr
20051021_36380_0100_PP_135.png,0.919458,0.019046,0.021185,0.021061,0.019251,anodr
20051021_36476_0100_PP_1243.png,0.920629,0.018321,0.020379,0.020822,0.019849,anodr
20051021_39845_0100_PP_315.png,0.921355,0.019348,0.019826,0.020256,0.019216,anodr
